date;message_id;reply_to_msg_id;channel_name;channel_id;sender;sender_id;message;views;comments;reactions;channel_members_count;channel_url;reactions_total;forwarded;forwards;topic_title
2026-03-12 17:13:17+00:00;1381;;ВОЙТИ В ИИ;1574641286;;-1;MediaMessage;167;0;{':red_heart:': 1, ':thumbs_up:': 1};2527;https://t.me/enter_to_ai;2;0;1;
2026-03-12 17:12:58+00:00;1380;;ВОЙТИ В ИИ;1574641286;;-1;Вот что ответила Юля 😂😂😂;166;0;{':beaming_face_with_smiling_eyes:': 2};2527;https://t.me/enter_to_ai;2;0;1;
2026-03-12 17:12:49+00:00;1379;;ВОЙТИ В ИИ;1574641286;;-1;**👀**** Умные очки Ray-Ban от Meta* СЛИВАЮТ интимные видео владельцев на сервера для проверки**  Вы носите умные очки Ray-Ban, записываете видео или делаете фото. Эти записи попадают на серверы Meta*, где их вручную проверяют сотрудники в Найроби.  Банковские реквизиты, секс, нюдсы — всё это отображается у ребят на гигантских экранах!  **И попадает к ним без вашего ведома.**  А как же конфиденциальность? Meta* заявляет, что применяет анонимизацию ( автоматически размывает лица). Но бывший сотрудник говорит, что алгоритм часто не срабатывает при плохом освещении.  __Формально компания ничего не нарушает (в пользовательском соглашении прописано, что люди могут участвовать в обработке данных)__  При этом Meta* продаёт AI-очки Ray-Ban как «личного ассистента», **обещая конфиденциальность**.   Продажи взлетели с 2 млн штук в 2023–2024 до 7 млн в 2025 году.  ‼️ Кстати, **у Юли есть первая версия этих очков**,  и мы решили узнать, будет ли она обновляться до второй   __*признана экстремистской организацией и запрещена в РФ__;187;0;{':thumbs_up:': 3, ':thinking_face:': 1, ':face_screaming_in_fear:': 1};2527;https://t.me/enter_to_ai;5;0;2;
2026-03-10 19:10:47+00:00;1378;;ВОЙТИ В ИИ;1574641286;;-1;**🔥**** ANTHROPIC РАСКРЫЛА СЕКРЕТ! Какие ошибки совершают** **пользователи  при работе с ИИ**  __Anthropic — компания, создавшая нейросеть Claude (главного конкурента ChatGPT) — проанализировала почти **10 000 реальных диалогов **и обнаружила ОПАСНЫЙ ПАТТЕРН, который объясняет большинство проблем с ИИ-контентом.__  **По результатам исследования:** нейросеть выдаёт красиво оформленный результат (код, документ, презентацию) → вы сразу его используете → не проверяете.  Реальные цифры из исследования:  🟣 Люди на 5% реже проверяют факты, когда результат выглядит готовым 🟣 На 3% реже задают уточняющие вопросы 🟣 Критическое мышление отключается именно там, где ошибки критичны  **Чем больше усилий вы вложили в постановку задачи — тем меньше проверяете результат. **Это когнитивная ловушка, которая будет только усиливаться.  **Anthropic выявила 3 конкретных поведения**, которые отличают грамотных пользователей ИИ от остальных. И **показала, как избежать этой ловушки. ** 👉 Читайте [ПОЛНОЕ ИССЛЕДОВАНИЕ ТУТ](https://teletype.in/@enter_to_ai/iAA1BtDdbNj)  👉 [Оригинал исследования на английском ](https://www.anthropic.com/research/AI-fluency-index)  __А вы проверяете результаты ИИ или доверяете первому ответу?👇__  #ИИ_обзоры #исследование;258;4;{':thumbs_up:': 5, ':red_heart:': 4, ':fire:': 2};2527;https://t.me/enter_to_ai;11;0;8;
2026-03-07 18:16:03+00:00;1377;;ВОЙТИ В ИИ;1574641286;;-1;✨ **OpenAI выкатили новую модель **  GPT-5.4 - новая флагманская моделька  __В ней улучшили качество ответов, а контекст увеличили до 1 млн токенов.__  Теперь  вы можете увидеть как модель 5.4  ушла в режим думающий, 5.3 в режим быстрого ответа, а 5.2 спрятали за кнопкой устаревших моделей.   Уже тестили? Пишите как вам!);351;6;{':thumbs_up:': 7, ':fire:': 4, ':red_heart:\\u200d:fire:': 3};2527;https://t.me/enter_to_ai;14;0;1;
2026-03-06 17:15:55+00:00;1376;;ВОЙТИ В ИИ;1574641286;;-1;Всем привет! 👋  **Делимся с вами уроком по прокачке соцсетей с помощью конкурентов**  Покажем, как перестать «выдумывать контент с нуля» и начать опираться на то, что уже сработало у других - чтобы нейросети генерили вам вирусные Reels под ваш продукт и вас.  **Загрузили урок на площадки!** 📹 [YouTube](https://www.youtube.com/watch?v=2IYLV9Jj-sA) 💬 [ВК](https://vkvideo.ru/video-228345955_456239397?list=ln-tgkYDNEqyQQAJoJZir)  **📚 ЧТО ВЫ УЗНАЕТЕ: ****🟣**как создать ИИ ассистента в Claude 🟣два способа парсинга контента конкурентов 🟣как адаптировать чужие сценарии под свой продукт  **👇**** Что мы использовали:** 🔴 Claude (можно заменить на Chat gpt)  — https://claude.ai 🟡 Парсер конкурентов — @inst_ai_bot 🔴 Ботика для скачивание роликов из Запретрама — @SaveAsBot 🟡 Сервис для транскрибации — https://turboscribe.ai  **📄 ПОЛЕЗНЫЕ ДОКУМЕНТЫ** 🟣 [Инструкция по созданию вирусных роликов для ИИ ассистента](https://docs.google.com/document/d/12VRJpbNC0CGceML2ESAvp-5PSJGqZewD3zE7DkIZzV4/edit?tab=t.0#heading=h.bk1plp3ymb4b) 🟣[ Аналитик контента конкурентов](https://docs.google.com/document/d/1C7850_66eAfj4-kluHLFLmWfUSLdiv9I8PyWnJvk0Co/edit?tab=t.0)  __(Урок по анализу ЦА __[ТУТ](https://t.me/enter_to_ai/1213)__, а с ним еще 2 крутых__ __бесплатных урока)__  **Если у вас будут вопросы — задавайте в комментариях)** Желаем классных выходных! 🙌✨;446;0;{':fire:': 5, ':red_heart:\\u200d:fire:': 4, ':thumbs_up:': 4};2527;https://t.me/enter_to_ai;13;0;13;
2026-03-05 18:40:35+00:00;1375;1374;ВОЙТИ В ИИ;1574641286;;-1;Накидайте огней, если нужна инструкция, как добавлять предметы в ролики 🔥;353;0;{':fire:': 16};2527;https://t.me/enter_to_ai;16;0;0;
2026-03-05 18:36:25+00:00;1374;;ВОЙТИ В ИИ;1574641286;;-1;MediaMessage;339;;{':fire:': 6};2527;https://t.me/enter_to_ai;6;0;1;
2026-03-05 18:36:25+00:00;1373;;ВОЙТИ В ИИ;1574641286;;-1;MediaMessage;323;;{':thumbs_up:': 1};2527;https://t.me/enter_to_ai;1;0;0;
2026-03-05 18:36:24+00:00;1372;;ВОЙТИ В ИИ;1574641286;;-1;MediaMessage;338;0;{':fire:': 3};2527;https://t.me/enter_to_ai;3;0;1;
2026-03-05 18:35:39+00:00;1371;;ВОЙТИ В ИИ;1574641286;;-1;В Олимпийской вещательной службе пофантазировали, что на Олимпиаде-2028 зрители смогут голосом останавливать трансляцию и задавать боту вопросы к увиденному.  В 2026-м применения ИИ были поскромнее. В заметке — шесть кейсов  vc.ru/ai/2755823;318;0;{':red_heart:': 3, ':fire:': 2};2527;https://t.me/enter_to_ai;5;1;0;
2026-03-04 18:03:50+00:00;1370;;ВОЙТИ В ИИ;1574641286;;-1;🗣** ЛУЧШАЯ КОЛЛЕКЦИЯ ПРОМПТОВ**  Prompts.chat это библиотека готовых промптов для ChatGPT, Claude, Gemini и других нейросетей.  __Более 40 научных цитирований, упоминания в Forbes и Гарварде, №1 датасет по лайкам на Hugging Face. __  **👉**** ТУТ ВЫ НАЙДЁТЕ ПРОМПТ ПОД ЛЮБУЮ ЗАДАЧУ:**  Для бизнеса и творчества: 🟣 Генерация идей для стартапа 🟣 Маркетинговые тексты и посты 🟣 Сценарии для видео и рилсов 🟣 Стратегии продвижения  Для работы и учёбы: 🟠 Написать резюме и сопроводительное письмо 🟠 Разобрать договор или юридический документ 🟠 Составить план обучения по любой теме 🟠 Подготовиться к экзамену или собеседованию  Для жизни: 🟣 План тренировок под цель 🟣 Рацион питания и диета 🟣 Психологические техники и советы   Просто заходите и берёте готовый шаблон под любую задачу. Промпты протестированы и оптимизированы под разные модели.   ‼️** Ссылка на библиотеку **- https://prompts.chat  Пользуйтесь) И напишите какими сервисами нам еще поделиться  #ИИ_обзоры #промпты #нейросети #chatgpt;387;3;{':red_heart:': 5, ':fire:': 5, ':thumbs_up:': 2};2527;https://t.me/enter_to_ai;12;0;17;
2026-02-26 10:59:03+00:00;1369;;ВОЙТИ В ИИ;1574641286;;-1;**💥**** ПЕРЕВОДЧИК, КОТОРЫЙ МОЖЕТ ПЕРЕВОДИТЬ ЦЕЛЫЕ КНИГИ**  Вышел топовый переводчик X-doc — нейросеть, которая справляется даже с огромными текстами!  ⚡️ **ЛОВИТЕ ССЫЛКУ:** https://x-doc.ai  Из очевидных плюсов:  ✔️  Понимает 108 языков **(включая русский)** ✔️  Картинки и таблицы внутри текста НЕ ПЛЫВУТ — всё остаётся на своих местах ✔️  Можно добавить свой словарь для важных терминов и профессионального жаргона ✔️  БЕСПЛАТНО!  Идеально для перевода книг, документов, исследований и длинных текстов с сохранением структуры.  **А какие сервисы или приложения вы используете для перевода?**   __(Мы - Chat GPT, X-doc и DeepL Translate)__   #ИИ_обзоры #ИИ_туториалы #нейросети;511;4;{':red_heart:': 6, ':clapping_hands:': 4};2527;https://t.me/enter_to_ai;10;0;18;
